ODS,Year,Q,Variable,Value
RBL,2014,Q1,General and Accute - Available,736
RBL,2014,Q1,General and Accute - Occupied,614
RBT,2014,Q1,General and Accute - Available,510
RBT,2014,Q1,General and Accute - Occupied,485
REN,2014,Q1,General and Accute - Available,73
REN,2014,Q1,General and Accute - Occupied,46
RJN,2014,Q1,General and Accute - Available,330
RJN,2014,Q1,General and Accute - Occupied,301
RJR,2014,Q1,General and Accute - Available,496
RJR,2014,Q1,General and Accute - Occupied,484
RTV,2014,Q1,General and Accute - Available,
RTV,2014,Q1,General and Accute - Occupied,
RWW,2014,Q1,General and Accute - Available,555
RWW,2014,Q1,General and Accute - Occupied,478
RXA,2014,Q1,General and Accute - Available,
RXA,2014,Q1,General and Accute - Occupied,
RTR,2014,Q1,General and Accute - Available,1105
RTR,2014,Q1,General and Accute - Occupied,880
RVW,2014,Q1,General and Accute - Available,590
RVW,2014,Q1,General and Accute - Occupied,492
RX3,2014,Q1,General and Accute - Available,
RX3,2014,Q1,General and Accute - Occupied,
RXP,2014,Q1,General and Accute - Available,1027
RXP,2014,Q1,General and Accute - Occupied,830
RBV,2014,Q1,General and Accute - Available,177
RBV,2014,Q1,General and Accute - Occupied,133
RM2,2014,Q1,General and Accute - Available,798
RM2,2014,Q1,General and Accute - Occupied,697
RM3,2014,Q1,General and Accute - Available,700
RM3,2014,Q1,General and Accute - Occupied,634
RMC,2014,Q1,General and Accute - Available,585
RMC,2014,Q1,General and Accute - Occupied,498
RMP,2014,Q1,General and Accute - Available,446
RMP,2014,Q1,General and Accute - Occupied,404
RRF,2014,Q1,General and Accute - Available,465
RRF,2014,Q1,General and Accute - Occupied,399
RT2,2014,Q1,General and Accute - Available,106
RT2,2014,Q1,General and Accute - Occupied,84
RW3,2014,Q1,General and Accute - Available,1113
RW3,2014,Q1,General and Accute - Occupied,1006
RW6,2014,Q1,General and Accute - Available,1210
RW6,2014,Q1,General and Accute - Occupied,1049
RWJ,2014,Q1,General and Accute - Available,683
RWJ,2014,Q1,General and Accute - Occupied,574
RXV,2014,Q1,General and Accute - Available,
RXV,2014,Q1,General and Accute - Occupied,
TAE,2014,Q1,General and Accute - Available,
