ODS,Year,Variable,Value
RTQ,2014,Cleanliness,0.9893
RTQ,2014,Food,0.9507
RTQ,2014,Organisation Food,
RTQ,2014,Ward Food,
RTQ,2014,"Privacy, Dignity and Wellbeing",0.965
RTQ,2014,Condition Appearance and Maintenance,0.9746
RTQ,2014,Dementia,
RTQ,2014,Disability,
RTV,2014,Cleanliness,0.9967
RTV,2014,Food,0.9576
RTV,2014,Organisation Food,
RTV,2014,Ward Food,
RTV,2014,"Privacy, Dignity and Wellbeing",0.934
RTV,2014,Condition Appearance and Maintenance,0.8964
RTV,2014,Dementia,
RTV,2014,Disability,
REM,2014,Cleanliness,0.9944
REM,2014,Food,0.9093
REM,2014,Organisation Food,
REM,2014,Ward Food,
REM,2014,"Privacy, Dignity and Wellbeing",0.9797
REM,2014,Condition Appearance and Maintenance,0.9767
REM,2014,Dementia,
REM,2014,Disability,
RCF,2014,Cleanliness,0.9874
RCF,2014,Food,0.8902
RCF,2014,Organisation Food,
RCF,2014,Ward Food,
RCF,2014,"Privacy, Dignity and Wellbeing",0.8458
RCF,2014,Condition Appearance and Maintenance,0.9352
RCF,2014,Dementia,
RCF,2014,Disability,
RBS,2014,Cleanliness,0.8419
RBS,2014,Food,0.8356
RBS,2014,Organisation Food,
RBS,2014,Ward Food,
RBS,2014,"Privacy, Dignity and Wellbeing",0.8563
RBS,2014,Condition Appearance and Maintenance,0.8082
RBS,2014,Dementia,
RBS,2014,Disability,
RTK,2014,Cleanliness,0.9965
RTK,2014,Food,0.9494
RTK,2014,Organisation Food,
RTK,2014,Ward Food,
RTK,2014,"Privacy, Dignity and Wellbeing",0.8684
RTK,2014,Condition Appearance and Maintenance,0.8618
RTK,2014,Dementia,
RTK,2014,Disability,
RVN,2014,Cleanliness,0.9941
RVN,2014,Food,0.8921
RVN,2014,Organisation Food,
RVN,2014,Ward Food,
RVN,2014,"Privacy, Dignity and Wellbeing",0.8903
RVN,2014,Condition Appearance and Maintenance,0.9465
RVN,2014,Dementia,
RVN,2014,Disability,
RF4,2014,Cleanliness,0.947
RF4,2014,Food,0.8774
RF4,2014,Organisation Food,
RF4,2014,Ward Food,
RF4,2014,"Privacy, Dignity and Wellbeing",0.7385
RF4,2014,Condition Appearance and Maintenance,0.877
RF4,2014,Dementia,
RF4,2014,Disability,
RRP,2014,Cleanliness,0.9964
RRP,2014,Food,0.9215
RRP,2014,Organisation Food,
RRP,2014,Ward Food,
RRP,2014,"Privacy, Dignity and Wellbeing",0.9385
RRP,2014,Condition Appearance and Maintenance,0.9452
RRP,2014,Dementia,
RRP,2014,Disability,
RFF,2014,Cleanliness,0.9795
RFF,2014,Food,0.9208
RFF,2014,Organisation Food,
RFF,2014,Ward Food,
RFF,2014,"Privacy, Dignity and Wellbeing",0.9009
RFF,2014,Condition Appearance and Maintenance,0.9626
RFF,2014,Dementia,
RFF,2014,Disability,
R1H,2014,Cleanliness,0.9982
R1H,2014,Food,0.8758
R1H,2014,Organisation Food,
R1H,2014,Ward Food,
R1H,2014,"Privacy, Dignity and Wellbeing",0.9179
R1H,2014,Condition Appearance and Maintenance,0.97
R1H,2014,Dementia,
R1H,2014,Disability,
RDD,2014,Cleanliness,0.9904
RDD,2014,Food,0.906
RDD,2014,Organisation Food,
RDD,2014,Ward Food,
RDD,2014,"Privacy, Dignity and Wellbeing",0.8921
RDD,2014,Condition Appearance and Maintenance,0.9688
RDD,2014,Dementia,
RDD,2014,Disability,
RC1,2014,Cleanliness,0.9868
RC1,2014,Food,0.9011
RC1,2014,Organisation Food,
RC1,2014,Ward Food,
RC1,2014,"Privacy, Dignity and Wellbeing",0.8395
RC1,2014,Condition Appearance and Maintenance,0.9247
RC1,2014,Dementia,
RC1,2014,Disability,
RWX,2014,Cleanliness,0.9909
RWX,2014,Food,0.9485
RWX,2014,Organisation Food,
RWX,2014,Ward Food,
RWX,2014,"Privacy, Dignity and Wellbeing",0.9213
RWX,2014,Condition Appearance and Maintenance,0.9711
RWX,2014,Dementia,
RWX,2014,Disability,
RXT,2014,Cleanliness,0.9967
RXT,2014,Food,0.9609
RXT,2014,Organisation Food,
RXT,2014,Ward Food,
RXT,2014,"Privacy, Dignity and Wellbeing",0.9182
RXT,2014,Condition Appearance and Maintenance,0.9774
RXT,2014,Dementia,
RXT,2014,Disability,
RQ3,2014,Cleanliness,0.9961
RQ3,2014,Food,0.8795
RQ3,2014,Organisation Food,
RQ3,2014,Ward Food,
RQ3,2014,"Privacy, Dignity and Wellbeing",0.9745
RQ3,2014,Condition Appearance and Maintenance,0.9705
RQ3,2014,Dementia,
RQ3,2014,Disability,
RYW,2014,Cleanliness,0.9264
RYW,2014,Food,0.9027
RYW,2014,Organisation Food,
RYW,2014,Ward Food,
RYW,2014,"Privacy, Dignity and Wellbeing",0.8164
RYW,2014,Condition Appearance and Maintenance,0.8172
RYW,2014,Dementia,
RYW,2014,Disability,
RLU,2014,Cleanliness,0.9988
RLU,2014,Food,0.9028
RLU,2014,Organisation Food,
RLU,2014,Ward Food,
RLU,2014,"Privacy, Dignity and Wellbeing",0.8932
RLU,2014,Condition Appearance and Maintenance,0.9842
RLU,2014,Dementia,
RLU,2014,Disability,
RXL,2014,Cleanliness,0.9715
RXL,2014,Food,0.899
RXL,2014,Organisation Food,
RXL,2014,Ward Food,
RXL,2014,"Privacy, Dignity and Wellbeing",0.9023
RXL,2014,Condition Appearance and Maintenance,0.9407
RXL,2014,Dementia,
RXL,2014,Disability,
RMC,2014,Cleanliness,0.9937
RMC,2014,Food,0.8417
RMC,2014,Organisation Food,
RMC,2014,Ward Food,
RMC,2014,"Privacy, Dignity and Wellbeing",0.8755
RMC,2014,Condition Appearance and Maintenance,0.9699
RMC,2014,Dementia,
RMC,2014,Disability,
RAE,2014,Cleanliness,0.9635
RAE,2014,Food,0.8001
RAE,2014,Organisation Food,
RAE,2014,Ward Food,
RAE,2014,"Privacy, Dignity and Wellbeing",0.8022
RAE,2014,Condition Appearance and Maintenance,0.8809
RAE,2014,Dementia,
RAE,2014,Disability,
RY2,2014,Cleanliness,0.9938
RY2,2014,Food,0.81
RY2,2014,Organisation Food,
RY2,2014,Ward Food,
RY2,2014,"Privacy, Dignity and Wellbeing",0.8176
RY2,2014,Condition Appearance and Maintenance,0.9167
RY2,2014,Dementia,
RY2,2014,Disability,
RXH,2014,Cleanliness,0.9684
RXH,2014,Food,0.9698
RXH,2014,Organisation Food,
RXH,2014,Ward Food,
RXH,2014,"Privacy, Dignity and Wellbeing",0.8486
RXH,2014,Condition Appearance and Maintenance,0.8616
RXH,2014,Dementia,
RXH,2014,Disability,
RXQ,2014,Cleanliness,0.9304
RXQ,2014,Food,0.855
RXQ,2014,Organisation Food,
RXQ,2014,Ward Food,
RXQ,2014,"Privacy, Dignity and Wellbeing",0.8005
RXQ,2014,Condition Appearance and Maintenance,0.8863
RXQ,2014,Dementia,
RXQ,2014,Disability,
RJF,2014,Cleanliness,0.9643
RJF,2014,Food,0.8479
RJF,2014,Organisation Food,
RJF,2014,Ward Food,
RJF,2014,"Privacy, Dignity and Wellbeing",0.8571
RJF,2014,Condition Appearance and Maintenance,0.8729
RJF,2014,Dementia,
RJF,2014,Disability,
RWY,2014,Cleanliness,0.9854
RWY,2014,Food,0.8341
RWY,2014,Organisation Food,
RWY,2014,Ward Food,
RWY,2014,"Privacy, Dignity and Wellbeing",0.9307
RWY,2014,Condition Appearance and Maintenance,0.9161
RWY,2014,Dementia,
RWY,2014,Disability,
RJX,2014,Cleanliness,0.858
RJX,2014,Food,0.9114
RJX,2014,Organisation Food,
RJX,2014,Ward Food,
RJX,2014,"Privacy, Dignity and Wellbeing",0.9335
RJX,2014,Condition Appearance and Maintenance,0.7992
RJX,2014,Dementia,
RJX,2014,Disability,
RGT,2014,Cleanliness,0.9706
RGT,2014,Food,0.8564
RGT,2014,Organisation Food,
RGT,2014,Ward Food,
RGT,2014,"Privacy, Dignity and Wellbeing",0.9026
RGT,2014,Condition Appearance and Maintenance,0.9255
RGT,2014,Dementia,
RGT,2014,Disability,
RT1,2014,Cleanliness,0.978
RT1,2014,Food,0.8142
RT1,2014,Organisation Food,
RT1,2014,Ward Food,
RT1,2014,"Privacy, Dignity and Wellbeing",0.8949
RT1,2014,Condition Appearance and Maintenance,0.8864
RT1,2014,Dementia,
RT1,2014,Disability,
RYV,2014,Cleanliness,0.9434
RYV,2014,Food,0.8388
RYV,2014,Organisation Food,
RYV,2014,Ward Food,
RYV,2014,"Privacy, Dignity and Wellbeing",0.8058
RYV,2014,Condition Appearance and Maintenance,0.7841
RYV,2014,Dementia,
RYV,2014,Disability,
RV3,2014,Cleanliness,0.9874
RV3,2014,Food,0.8485
RV3,2014,Organisation Food,
RV3,2014,Ward Food,
RV3,2014,"Privacy, Dignity and Wellbeing",0.9185
RV3,2014,Condition Appearance and Maintenance,0.9167
RV3,2014,Dementia,
RV3,2014,Disability,
RYX,2014,Cleanliness,0.9786
RYX,2014,Food,0.9303
RYX,2014,Organisation Food,
RYX,2014,Ward Food,
RYX,2014,"Privacy, Dignity and Wellbeing",0.8731
RYX,2014,Condition Appearance and Maintenance,0.8678
RYX,2014,Dementia,
RYX,2014,Disability,
RW3,2014,Cleanliness,0.9748
RW3,2014,Food,0.8908
RW3,2014,Organisation Food,
RW3,2014,Ward Food,
RW3,2014,"Privacy, Dignity and Wellbeing",0.9035
RW3,2014,Condition Appearance and Maintenance,0.9483
RW3,2014,Dementia,
RW3,2014,Disability,
RQM,2014,Cleanliness,0.9896
RQM,2014,Food,0.9338
RQM,2014,Organisation Food,
RQM,2014,Ward Food,
RQM,2014,"Privacy, Dignity and Wellbeing",0.9543
