ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RTQ,99.64%,94.60%,92.43%,98.37%,93.11%,99.20%,90.18%,91.19%
RTV,99.22%,96.35%,92.24%,99.13%,90.61%,94.48%,87.96%,85.69%
REM,97.11%,79.09%,81.58%,78.49%,82.31%,93.03%,74.01%,76.08%
RCF,97.20%,90.57%,82.33%,93.11%,80.53%,89.03%,72.50%,83.35%
RBS,93.87%,92.93%,89.64%,95.55%,75.14%,93.05%, -,83.15%
RTK,99.84%,96.45%,93.01%,97.81%,83.84%,89.29%,73.33%,83.44%
RVN,99.05%,88.91%,89.08%,88.42%,86.39%,96.01%,81.27%,83.82%
RF4,98.78%,88.50%,92.72%,87.42%,73.40%,94.59%,80.42%,81.47%
RRP,99.56%,90.69%,95.65%,88.19%,89.67%,96.32%,87.42%,87.02%
RFF,99.40%,84.92%,82.96%,85.35%,83.50%,97.55%,81.32%,87.42%
R1H,99.76%,94.59%,92.75%,95.06%,78.50%,95.75%,67.63%,77.59%
RDD,99.87%,93.69%,95.70%,93.28%,91.96%,99.11%,93.53%,93.33%
RC1,99.48%,92.28%,90.00%,92.74%,78.21%,94.68%,76.15%,82.04%
RWX,99.87%,96.25%,90.71%,98.61%,94.37%,98.67%,98.83%,97.64%
RXT,100.00%,96.21%,95.83%,95.86%,96.87%,99.13%,95.58%,95.94%
RQ3,99.43%,88.30%,80.40%,91.13%,90.78%,97.68%,88.78%,92.40%
RYW,99.58%,90.75%,92.18%,89.10%,84.41%,90.62%,85.79%,85.72%
RLU,-,-,-,-,-,-,-,-
RXL,99.43%,93.99%,89.44%,95.47%,90.78%,98.51%,86.09%,92.03%
RMC,97.62%,93.60%,97.58%,93.01%,80.91%,95.89%,72.86%,81.78%
RAE,97.35%,85.01%,89.44%,84.04%,76.31%,90.07%,75.63%,76.07%
RY2,-,-,-,-,-,-,-,-
RXH,95.72%,84.00%,78.19%,86.25%,66.07%,86.39%,62.95%,72.89%
RXQ,97.85%,86.52%,85.94%,86.72%,80.75%,93.88%,62.75%,70.07%
RJF,98.05%,87.58%,91.12%,86.91%,83.25%,91.18%,70.07%,81.87%
RWY,98.93%,92.44%,92.04%,92.53%,87.59%,95.37%,78.90%,86.56%
RJX,-,-,-,-,-,-,-,-
RGT,97.80%,84.75%,89.60%,83.68%,78.46%,88.83%,69.99%,74.44%
RT1,99.59%,90.38%,91.12%,89.41%,91.57%,98.68%,92.88%,94.99%
RYV,99.29%,92.06%,92.29%,91.93%,97.73%,96.73%, -,96.25%
RV3,99.76%,93.91%,91.65%,95.43%,93.44%,96.41%,92.79%,86.73%
RYX,99.54%,94.03%,92.47%,95.20%,95.11%,95.14%,87.25%,92.21%
RW3,-,-,-,-,-,-,-,-
RQM,99.86%,96.18%,93.17%,96.67%,93.69%,97.84%,91.39%,91.75%
RXA,99.77%,96.39%,94.04%,100.00%,98.02%,96.39%,92.49%,96.27%
RFS,99.34%,91.75%,93.86%,91.17%,89.02%,97.54%,85.75%,93.28%
RLN,99.45%,93.60%,98.43%,92.63%,85.32%,97.30%,81.21%,89.24%
REN,99.87%,86.01%,84.19%,87.95%,89.41%,94.07%,82.05%,82.00%
RDE,99.94%,90.47%,91.97%,90.10%,87.59%,97.27%,82.17%,89.41%
RJ8,97.89%,88.31%,87.38%,88.67%,74.45%,84.89%,66.19%,71.99%
RJR,99.26%,88.10%,75.81%,92.97%,76.19%,92.81%,55.78%,74.08%
RXP,99.52%,96.19%,97.83%,95.73%,91.44%,96.48%,81.94%,89.02%
RYG,99.84%,90.35%,85.20%,95.49%,88.54%,97.89%,87.48%,83.14%
